condition,broader_category,,,
Fair,Fair,,,
Partly Cloudy,Cloudy,,,
Mostly Cloudy,Cloudy,,,
Cloudy,Cloudy,,,
Cloudy,Cloudy,,,
Windy,Windy,,,
Partly Cloudy,Cloudy,,,
Windy,Windy,,,
Fair,Fair,,,
Windy,Windy,,,
Mostly Cloudy,Cloudy,,,
Windy,Windy,,,
Light Rain,Rain,,,
Wintry Mix,Snow,,,
Heavy Rain,Rain,,,
Rain,Rain,,,
Light Drizzle,Rain,,,
Light Snow,Snow,,,
Heavy Rain,Rain,,,
Windy,Windy,,,
Heavy T-Storm,T-Storm,,,
Heavy T-Storm,T-Storm,,,
Windy,Windy,,,
Fog,Fog,,,
Light Drizzle,Rain,,,
Windy,Windy,,,
Light Rain with Thunder,T-Storm,,,
Light Rain,Rain,,,
Windy,Windy,,,
Rain and Snow,Snow,,,
Windy,Windy,,,
Rain and Snow,Snow,,,
Haze,Fog,,,
Drizzle and Fog,Fog,,,
Rain,Rain,,,
Windy,Windy,,,
Rain and Sleet,Snow,,,
Light Snow and Sleet,Snow,,,
Windy,Windy,,,
Light Snow and Sleet,Snow,,,
Thunder,T-Storm,,,
T-Storm,T-Storm,,,
T-Storm,T-Storm,,,
Windy,Windy,,,
Thunder,T-Storm,,,
Windy,Windy,,,
Snow and Sleet,Snow,,,
Light Snow,Snow,,,
Windy,Windy,,,
Snow,Snow,,,
Light Freezing Rain,Rain,,,
Rain,Rain,,,
Freezing Rain,Snow,,,
Heavy Snow,Snow,,,
Snow,Snow,,,
Windy,Windy,,,
Unknown Precipitation,Rain,,,
Rain,Rain,,,
Freezing Rain,Snow,,,
Windy,Windy,,,
Rain and Sleet,Snow,,,
Windy,Windy,,,
Light Sleet,Snow,,,
Sleet,Snow,,,
Light Freezing Drizzle,Rain,,,
Light Sleet,Snow,,,
Windy,Windy,,,
Light Snow,Snow,,,
Freezing Rain,Snow,,,
Shallow Fog,Fog,,,
Heavy Snow,Snow,,,
Windy,Windy,,,
Haze,Fog,,,
Windy,Windy,,,
Thunder in the Vicinity,T-Storm,,,
Patches of Fog,Fog,,,
Wintry Mix,Snow,,,
Windy,Windy,,,
Snow and Sleet,Snow,,,
Windy,Windy,,,
Sleet,Snow,,,
Windy,Windy,,,
Drizzle and Fog,Fog,,,
Windy,Windy,,,
Fog,Fog,,,
Windy,Windy,,,
Mist,Fog,,,
Blowing Snow,Snow,,,
Windy,Windy,,,
Drizzle,Rain,,,
Windy,Windy,,,
Small Hail,Snow,,,
Squalls,Windy,,,
Windy,Windy,,,
Thunder and Hail,T-Storm,,,
